Time Lon Lat Dep(km) Mag
2025-10-27T12:38:40.311000Z -59.5718 16.5295 9.0 6.5
2025-10-16T05:48:55.452000Z 138.9382 -2.1676 35.0 6.5
2025-10-10T20:29:20.591000Z -61.799 -60.1958 8.794 7.6
2025-10-10T11:12:07.106000Z 126.7553 7.1716 61.184 6.7
2025-10-10T01:43:59.731000Z 126.7545 7.2649 58.087 7.4
2025-10-07T11:05:17.504000Z 146.767 -6.7837 99.435 6.6
2025-09-30T13:59:43.322000Z 124.1444 11.1344 10.0 6.9
2025-09-18T18:58:14.940000Z 160.6811 53.171 27.0 7.8
2025-09-13T02:37:54.754000Z 160.2938 53.1043 39.465 7.4
2025-08-22T02:16:18.246000Z -61.9221 -60.3187 10.0 7.5
2025-08-03T05:37:55.148000Z 157.8643 50.5853 30.0 6.8
2025-07-30T00:09:58.961000Z 159.8008 52.1946 36.622 6.9
2025-07-29T23:24:52.480000Z 160.2637 52.498 35.0 8.8
2025-07-29T17:53:40.918000Z 178.858 -23.4497 553.0 6.6
2025-07-28T22:10:35.109000Z 157.0388 -57.605 31.0 7.0
2025-07-24T23:37:56.601000Z -175.7016 -14.9093 314.151 6.6
2025-07-20T07:23:00.264000Z 160.7934 52.8703 22.128 6.6
2025-07-20T07:07:42.573000Z 160.8332 52.6981 10.0 6.6
2025-07-20T06:49:04.495000Z 160.7907 52.8271 34.0 7.4
2025-07-20T06:28:17.860000Z 160.6233 52.9286 23.0 6.6
2025-07-16T20:37:41.731000Z -160.5324 54.6328 38.0 7.3
2025-07-14T05:49:58.931000Z 131.2223 -6.222 78.973 6.7
2025-06-28T08:32:20.957000Z -38.9672 -60.9793 10.0 6.6
2025-05-20T15:05:59.387000Z 144.8116 -3.7575 16.819 6.5
2025-05-02T12:58:26.059000Z -68.1967 -56.8114 10.0 7.4
2025-04-29T14:53:37.897000Z 155.6446 -54.2616 18.957 6.8
2025-04-16T01:42:59.668000Z 99.7261 -47.8064 10.0 6.6
2025-04-13T20:03:22.841000Z -178.3309 -25.9815 271.0 6.5
2025-04-04T20:04:38.311000Z 151.6781 -6.2927 10.0 6.9
2025-04-03T14:09:29.739000Z -32.1071 52.454 10.0 6.9
2025-03-30T12:18:50.291000Z -174.0801 -20.3093 29.0 7.0
2025-03-28T17:17:27.868000Z -29.7635 0.7561 12.323 6.6
2025-03-28T06:32:04.777000Z 95.969 21.6975 10.0 6.7
2025-03-28T06:20:52.709000Z 95.9247 22.0014 10.0 7.7
2025-03-25T01:43:11.796000Z 165.8632 -46.7305 21.0 6.7
2025-03-10T02:33:14.609000Z -8.1733 71.176 10.0 6.5
2025-02-08T23:23:14.341000Z -82.4564 17.7016 10.0 7.6
2025-01-13T12:19:32.300000Z 131.53 31.8525 39.0 6.8
2025-01-07T01:05:16.716000Z 87.375 28.5733 10.0 7.1
2024-12-27T12:47:37.885000Z 151.3468 47.3114 146.0 6.8
2024-12-17T01:47:25.741000Z 168.0842 -17.6914 54.372 7.3
2024-12-05T18:44:21.110000Z -125.021667 40.374 10.0 7.0
2024-11-15T05:28:30.644000Z 153.3133 -4.7395 56.0 6.6
2024-11-10T16:49:50.496000Z -77.0757 19.8191 14.0 6.8
2024-10-01T20:05:34.881000Z -173.0007 -19.2886 10.0 6.6
2024-09-15T22:22:48.323000Z -130.6302 51.5827 6.037 6.5
2024-08-25T23:29:07.570000Z -175.073 -19.7907 96.0 6.9
2024-08-17T19:10:26.819000Z 160.1158 52.9369 29.0 7.0
2024-08-10T03:28:32.435000Z 144.7822 47.1936 400.786 6.5
2024-08-08T07:42:55.242000Z 131.5191 31.7581 24.0 7.1
2024-08-02T22:23:02.550000Z 126.6154 8.1812 35.0 6.8
2024-07-19T01:50:48.107000Z -67.8098 -23.0813 122.897 7.4
2024-07-11T02:13:17.720000Z 123.1548 6.0898 627.865 7.1
2024-07-10T04:55:41.780000Z 25.3481 -53.3092 4.0 6.6
2024-06-28T05:36:36.965000Z -74.4635 -15.8265 24.442 7.2
2024-05-26T20:47:10.893000Z -174.8667 -19.4182 127.09 6.6
2024-04-27T08:35:34.822000Z 139.577 27.8217 503.896 6.5
2024-04-14T20:56:28.097000Z 151.0832 -5.8037 49.0 6.5
2024-04-05T11:03:16.375000Z 145.36 19.0958 222.0 6.8
2024-04-02T23:58:12.147000Z 121.6044 23.8322 40.0 7.4
2024-03-27T01:28:21.000000Z 173.8 -20.9 10.0 6.7
2024-03-23T20:22:03.795000Z 143.1701 -4.1155 37.0 6.9
2024-03-03T16:16:53.995000Z 159.1441 -58.8881 23.187 6.8
2024-01-28T09:38:56.538000Z -71.4005 -8.236 621.081 6.5
2024-01-22T18:09:04.408000Z 78.6535 41.2632 13.0 7.0
2024-01-20T21:31:05.092000Z -71.464 -7.2879 607.0 6.6
2024-01-08T20:48:43.797000Z 126.1541 4.9096 76.893 6.7
2024-01-01T07:10:09.474000Z 137.2638 37.4893 10.0 7.5
