Network,Station,Location,Mean Azimuth,CI95 Low Interval,CI95 High Interval,Data Points Used,Within5?,AbsOffset
BK,AASB,00,1.7684,356.9269,6.6099,126,YES,1.7684
BK,ADAM,00,2.9959,357.8820,8.1099,153,YES,2.9959
BK,ALVW,00,0.7485,355.3983,6.0986,164,YES,0.7485
BK,AONC,00,2.6214,357.9455,7.2973,95,YES,2.6214
BK,ATP,00,2.2325,356.8230,7.6420,170,YES,2.2325
BK,AUSC,00,359.5092,355.0210,3.9975,147,YES,0.4908
BK,AVSP,00,359.0804,354.2052,3.9556,115,YES,0.9196
BK,AZUL,00,356.4250,351.2715,1.5786,160,YES,3.5750
BK,BABI,00,359.8283,353.1317,6.5248,86,YES,0.1717
BK,BAKR,00,358.7760,352.0232,5.5289,75,YES,1.2240
BK,BARR,00,2.5906,354.6698,10.5113,55,YES,2.5906
BK,BAYL,00,0.9637,355.1421,6.7853,105,YES,0.9637
BK,BCCR,00,358.7759,354.4695,3.0824,107,YES,1.2241
BK,BDM,00,1.5759,357.0107,6.1410,97,YES,1.5759
BK,BEVN,00,3.4850,356.1466,10.8234,91,YES,3.4850
BK,BIGM,00,1.4739,346.7990,16.1488,45,YES,1.4739
BK,BIGV,00,352.1624,346.0320,358.2927,153,NO,7.8376
BK,BJES,00,358.3416,353.6507,3.0325,110,YES,1.6584
BK,BKS,00,0.8033,354.5876,7.0190,163,YES,0.8033
BK,BL67,00,2.4958,355.8252,9.1663,17,YES,2.4958
BK,BLAS,00,359.9038,355.5391,4.2686,109,YES,0.0962
BK,BLCR,00,1.0073,356.4343,5.5802,103,YES,1.0073
BK,BLUE,00,3.0612,356.0067,10.1157,105,YES,3.0612
BK,BONV,00,359.8668,355.0993,4.6344,168,YES,0.1332
BK,BOYR,00,4.0823,357.6724,10.4923,95,YES,4.0823
BK,BRAD,00,14.1612,9.5292,18.7932,181,NO,14.1612
BK,BRIB,00,358.3479,354.1997,2.4962,175,YES,1.6521
BK,BRIC,00,359.0360,353.3406,4.7314,98,YES,0.9640
BK,BRIT,00,3.6143,349.5540,17.6746,47,YES,3.6143
BK,BRK,00,358.4071,354.2962,2.5179,162,YES,1.5929
BK,BUCI,00,359.7178,355.3230,4.1126,167,YES,0.2822
BK,BUCR,00,4.6703,356.7780,12.5626,102,YES,4.6703
BK,CCOR,00,1.9370,355.9864,7.8876,164,YES,1.9370
BK,CGRV,00,7.3869,348.7105,26.0633,60,NO,7.3869
BK,CLRV,00,358.8660,354.6393,3.0927,138,YES,1.1340
BK,CMB,00,2.6261,356.6999,8.5523,155,YES,2.6261
BK,CVS,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,DANT,00,4.4875,356.1426,12.8324,25,YES,4.4875
BK,DCMP,00,358.4079,353.7320,3.0837,128,YES,1.5921
BK,DIAZ,00,358.8575,352.7512,4.9639,118,YES,1.1425
BK,DLIK,00,2.2399,355.6850,8.7949,104,YES,2.2399
BK,DMOR,00,1.4968,352.2085,10.7851,44,YES,1.4968
BK,DRDG,00,7.6243,355.6839,19.5648,51,NO,7.6243
BK,DRYC,00,0.2412,355.0929,5.3895,119,YES,0.2412
BK,EAGL,00,358.9080,351.8358,5.9803,101,YES,1.0920
BK,ETSL,00,352.7995,345.2849,0.3141,105,NO,7.2005
BK,FARB,00,0.7221,356.1652,5.2789,139,YES,0.7221
BK,FORD,00,2.0375,357.7393,6.3356,172,YES,2.0375
BK,GALB,00,1.8322,353.2699,10.3945,58,YES,1.8322
BK,GASB,00,358.7839,352.7009,4.8669,113,YES,1.2161
BK,GCKB,00,357.9678,350.2457,5.6898,99,YES,2.0322
BK,GHOP,00,358.5222,354.1306,2.9138,151,YES,1.4778
BK,GRPK,00,3.1611,348.9216,17.4006,32,YES,3.1611
BK,GTSB,00,356.3874,350.5569,2.2180,114,YES,3.6126
BK,GUMB,00,5.3915,358.0085,12.7745,108,NO,5.3915
BK,HALS,00,2.1694,356.8872,7.4516,141,YES,2.1694
BK,HAPY,00,2.8352,357.0371,8.6334,158,YES,2.8352
BK,HAS2,00,359.0934,355.2172,2.9697,187,YES,0.9066
BK,HAST,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HATC,00,359.7641,353.4905,6.0377,114,YES,0.2359
BK,HAYF,00,357.2838,351.0785,3.4891,96,YES,2.7162
BK,HELL,00,5.2152,356.0270,14.4035,134,NO,5.2152
BK,HOPS,00,358.9283,353.2923,4.5643,104,YES,1.0717
BK,HRCH,00,0.5935,356.5083,4.6787,189,YES,0.5935
BK,HULI,00,1.6742,357.0713,6.2771,155,YES,1.6742
BK,HULL,00,356.2404,349.4299,3.0509,78,YES,3.7596
BK,HUMO,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HUNT,00,1.1032,354.2481,7.9583,84,YES,1.1032
