Time Lon Lat Dep(km) Mag
2025-10-27T12:38:40.311000Z -59.5718 16.5295 9.0 6.5
2025-10-16T05:48:55.452000Z 138.9382 -2.1676 35.0 6.5
2025-10-10T20:29:20.591000Z -61.799 -60.1958 8.794 7.6
2025-10-10T11:12:07.106000Z 126.7553 7.1716 61.184 6.7
2025-10-10T01:43:59.731000Z 126.7545 7.2649 58.087 7.4
2025-10-07T11:05:17.504000Z 146.767 -6.7837 99.435 6.6
2025-09-30T13:59:43.322000Z 124.1444 11.1344 10.0 6.9
2025-09-18T18:58:14.940000Z 160.6811 53.171 27.0 7.8
2025-09-13T02:37:54.754000Z 160.2938 53.1043 39.465 7.4
2025-08-22T02:16:18.246000Z -61.9221 -60.3187 10.0 7.5
2025-08-03T05:37:55.148000Z 157.8643 50.5853 30.0 6.8
2025-07-30T00:09:58.961000Z 159.8008 52.1946 36.622 6.9
2025-07-29T23:24:52.480000Z 160.2637 52.498 35.0 8.8
2025-07-29T17:53:40.918000Z 178.858 -23.4497 553.0 6.6
2025-07-28T22:10:35.109000Z 157.0388 -57.605 31.0 7.0
2025-07-24T23:37:56.601000Z -175.7016 -14.9093 314.151 6.6
2025-07-20T07:23:00.264000Z 160.7934 52.8703 22.128 6.6
2025-07-20T07:07:42.573000Z 160.8332 52.6981 10.0 6.6
2025-07-20T06:49:04.495000Z 160.7907 52.8271 34.0 7.4
2025-07-20T06:28:17.860000Z 160.6233 52.9286 23.0 6.6
2025-07-16T20:37:41.731000Z -160.5324 54.6328 38.0 7.3
2025-07-14T05:49:58.931000Z 131.2223 -6.222 78.973 6.7
2025-06-28T08:32:20.957000Z -38.9672 -60.9793 10.0 6.6
2025-05-20T15:05:59.387000Z 144.8116 -3.7575 16.819 6.5
2025-05-02T12:58:26.059000Z -68.1967 -56.8114 10.0 7.4
2025-04-29T14:53:37.897000Z 155.6446 -54.2616 18.957 6.8
2025-04-16T01:42:59.668000Z 99.7261 -47.8064 10.0 6.6
2025-04-13T20:03:22.841000Z -178.3309 -25.9815 271.0 6.5
2025-04-04T20:04:38.311000Z 151.6781 -6.2927 10.0 6.9
2025-04-03T14:09:29.739000Z -32.1071 52.454 10.0 6.9
2025-03-30T12:18:50.291000Z -174.0801 -20.3093 29.0 7.0
2025-03-28T17:17:27.868000Z -29.7635 0.7561 12.323 6.6
2025-03-28T06:32:04.777000Z 95.969 21.6975 10.0 6.7
2025-03-28T06:20:52.709000Z 95.9247 22.0014 10.0 7.7
2025-03-25T01:43:11.796000Z 165.8632 -46.7305 21.0 6.7
2025-03-10T02:33:14.609000Z -8.1733 71.176 10.0 6.5
2025-02-08T23:23:14.341000Z -82.4564 17.7016 10.0 7.6
2025-01-13T12:19:32.300000Z 131.53 31.8525 39.0 6.8
2025-01-07T01:05:16.716000Z 87.375 28.5733 10.0 7.1
