Time Lon Lat Dep(km) Mag
2023-09-08T22:11:01.432000Z -8.3887 31.0549 19.0 6.8
2023-09-08T09:09:57.277000Z -179.3741 -32.7996 79.0 6.6
2023-08-28T19:55:30.883000Z 116.5196 -6.7871 500.0 7.1
2023-08-16T12:47:39.720000Z 167.2249 -13.8882 188.0 6.5
2023-07-19T00:22:07.652000Z -88.0799 12.7997 70.783 6.5
2023-07-17T03:05:11.491000Z -70.426 -38.1858 186.0 6.6
2023-07-16T06:48:21.155000Z -160.7614 54.3919 25.0 7.2
2023-07-10T20:28:26.285000Z -61.0681 20.0453 14.0 6.6
2023-07-02T10:27:43.732000Z -174.9484 -17.881 229.0 6.9
2023-06-15T18:06:28.572000Z -177.1067 -22.9936 179.0 7.2
2023-05-25T03:05:32.956000Z -77.0904 8.9223 13.0 6.5
2023-05-21T14:56:45.392000Z 39.3583 -43.4359 10.0 6.8
2023-05-20T02:09:54.359000Z 170.5423 -22.9824 10.0 6.5
2023-05-20T01:50:58.953000Z 170.5113 -23.0483 25.807 7.1
2023-05-19T02:57:05.349000Z 170.7343 -23.1903 32.986 7.7
2023-05-10T16:02:00.334000Z -174.4925 -15.6278 210.0 7.6
2023-04-28T03:13:48.485000Z 178.4639 -25.1913 563.0 6.6
2023-04-24T20:00:57.540000Z 98.524 -0.8026 34.0 7.1
2023-04-24T00:41:53.607000Z -177.8114 -29.9918 29.0 7.1
2023-04-18T04:31:43.586000Z 179.4293 -22.3163 596.39 6.7
2023-04-14T09:55:45.265000Z 112.0332 -6.0255 594.028 7.0
2023-04-03T03:06:57.235000Z 158.4935 52.7227 101.0 6.5
2023-04-02T18:04:11.321000Z 143.1593 -4.3258 70.0 7.0
2023-03-21T16:47:23.614000Z 70.9381 36.5169 192.0 6.5
2023-03-18T17:12:51.965000Z -79.848 -2.839 63.549 6.8
2023-03-16T00:56:00.139000Z -176.1982 -30.1743 10.0 7.0
2023-03-04T06:41:22.998000Z -178.7966 -29.5025 209.976 6.9
2023-03-01T05:36:14.834000Z 149.5041 -4.8255 600.933 6.6
2023-02-23T00:37:38.620000Z 73.2299 38.0564 11.742 6.9
2023-02-06T10:24:49.258000Z 37.203 38.0235 10.0 7.5
2023-02-06T01:28:15.984000Z 36.9468 37.1784 10.708 6.7
2023-02-06T01:17:34.362000Z 37.0209 37.2251 10.0 7.8
2023-01-20T22:09:39.043000Z -63.1017 -26.7513 596.733 6.8
2023-01-18T06:06:11.334000Z 127.0274 2.7357 28.855 7.0
2023-01-09T17:47:35.057000Z 130.0039 -7.0642 105.249 7.6
2023-01-08T12:32:42.372000Z 166.8794 -14.9466 29.0 7.0
2022-12-04T19:24:15.403000Z -172.9823 -15.3507 38.0 6.8
2022-11-22T02:03:06.920000Z 159.5936 -9.809 14.0 7.0
2022-11-18T13:37:08.687000Z 100.7862 -4.9043 25.0 6.9
2022-11-12T07:09:14.116000Z -178.3429 -20.0924 586.942 7.0
2022-11-11T10:48:46.755000Z -172.1488 -19.2868 37.0 7.3
2022-11-09T10:14:33.810000Z 178.2612 -25.5781 624.464 6.6
2022-11-09T09:38:42.828000Z 178.2776 -26.0077 630.379 6.8
2022-10-20T11:57:12.563000Z -82.3351 7.6863 20.0 6.7
