Network,Station,Location,Mean Azimuth,CI95 Low Interval,CI95 High Interval,Data Points Used,Within5?,AbsOffset
BK,AASB,00,0.7695,355.1865,6.3525,70,YES,0.7695
BK,ADAM,00,3.3109,356.8894,9.7323,96,YES,3.3109
BK,ALVW,00,0.7972,353.0895,8.5048,99,YES,0.7972
BK,AONC,00,2.6254,356.1986,9.0521,56,YES,2.6254
BK,ATP,00,1.5781,354.5794,8.5769,112,YES,1.5781
BK,AUSC,00,0.2107,355.2481,5.1733,109,YES,0.2107
BK,AVSP,00,358.8964,352.8495,4.9432,79,YES,1.1036
BK,AZUL,00,355.9948,349.7598,2.2298,113,YES,4.0052
BK,BABI,00,359.8429,353.1487,6.5370,86,YES,0.1571
BK,BAKR,00,357.8844,347.8504,7.9184,46,YES,2.1156
BK,BARR,00,2.5804,354.8499,10.3110,55,YES,2.5804
BK,BAYL,00,0.9490,352.9121,8.9859,67,YES,0.9490
BK,BCCR,00,358.3516,352.3477,4.3555,61,YES,1.6484
BK,BDM,00,1.5799,356.9711,6.1887,97,YES,1.5799
BK,BEVN,00,2.8330,355.6738,9.9922,79,YES,2.8330
BK,BIGM,00,3.3214,347.8177,18.8252,38,YES,3.3214
BK,BIGV,00,353.1200,344.0106,2.2293,85,NO,6.8800
BK,BJES,00,358.6077,353.2542,3.9611,86,YES,1.3923
BK,BKS,00,1.3684,354.1524,8.5844,106,YES,1.3684
BK,BL67,00,2.4851,355.8667,9.1036,17,YES,2.4851
BK,BLAS,00,359.8187,353.9482,5.6892,66,YES,0.1813
BK,BLCR,00,1.2352,355.2996,7.1709,81,YES,1.2352
BK,BLUE,00,3.4003,352.2396,14.5610,53,YES,3.4003
BK,BONV,00,358.5217,352.3784,4.6650,103,YES,1.4783
BK,BOYR,00,3.8304,355.7583,11.9026,58,YES,3.8304
BK,BRAD,00,13.8690,8.2300,19.5080,111,NO,13.8690
BK,BRIB,00,358.0919,353.2335,2.9503,110,YES,1.9081
BK,BRIC,00,358.9498,351.9119,5.9877,80,YES,1.0502
BK,BRIT,00,4.7831,348.2403,21.3260,37,YES,4.7831
BK,BRK,00,358.1427,353.5347,2.7508,99,YES,1.8573
BK,BUCI,00,359.1128,354.1380,4.0875,102,YES,0.8872
BK,BUCR,00,4.2510,355.8678,12.6343,78,YES,4.2510
BK,CCOR,00,2.6033,355.4713,9.7354,103,YES,2.6033
BK,CGRV,00,8.5837,347.5000,29.6674,52,NO,8.5837
BK,CLRV,00,358.4948,353.3191,3.6706,84,YES,1.5052
BK,CMB,00,2.1266,354.8780,9.3751,102,YES,2.1266
BK,CVS,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,DANT,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,DCMP,00,358.3562,351.6900,5.0223,70,YES,1.6438
BK,DIAZ,00,1.0102,351.0536,10.9668,70,YES,1.0102
BK,DLIK,00,3.0069,353.4086,12.6052,70,YES,3.0069
BK,DMOR,00,1.4968,352.2940,10.6996,44,YES,1.4968
BK,DRDG,00,7.6075,355.6476,19.5675,51,NO,7.6075
BK,DRYC,00,0.4420,353.5590,7.3249,71,YES,0.4420
BK,EAGL,00,358.0772,349.2607,6.8936,64,YES,1.9228
BK,ETSL,00,353.3871,344.5175,2.2567,85,NO,6.6129
BK,FARB,00,0.3312,354.8693,5.7932,80,YES,0.3312
BK,FORD,00,2.0861,356.1579,8.0143,101,YES,2.0861
BK,GALB,00,1.8149,353.2646,10.3652,58,YES,1.8149
BK,GASB,00,0.3200,352.2935,8.3465,91,YES,0.3200
BK,GCKB,00,358.1545,348.1893,8.1196,63,YES,1.8455
BK,GHOP,00,358.3450,352.4757,4.2143,93,YES,1.6550
BK,GRPK,00,3.1451,349.0207,17.2696,32,YES,3.1451
BK,GTSB,00,357.2758,349.1634,5.3882,73,YES,2.7242
BK,GUMB,00,6.2005,357.8322,14.5688,88,NO,6.2005
BK,HALS,00,1.7186,354.7820,8.6553,87,YES,1.7186
BK,HAPY,00,2.2040,354.8541,9.5538,88,YES,2.2040
BK,HAS2,00,359.2188,354.4547,3.9829,117,YES,0.7812
BK,HAST,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HATC,00,0.9243,351.8209,10.0277,69,YES,0.9243
BK,HAYF,00,359.4104,349.4595,9.3613,47,YES,0.5896
BK,HELL,00,6.7630,355.9039,17.6222,84,NO,6.7630
BK,HOPS,00,359.8126,353.8707,5.7546,91,YES,0.1874
BK,HRCH,00,0.6438,355.4500,5.8375,116,YES,0.6438
