Network,Station,Location,Mean Azimuth,CI95 Low Interval,CI95 High Interval,Data Points Used,Within5?,AbsOffset
BK,AASB,00,0.3221,356.2588,4.3854,197,YES,0.3221
BK,ADAM,00,2.4595,356.8234,8.0955,140,YES,2.4595
BK,ALVW,00,354.6898,347.4814,1.8981,33,NO,5.3102
BK,AONC,00,0.5318,356.4584,4.6052,196,YES,0.5318
BK,ATP,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,AUSC,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,AVSP,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,AZUL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,BABI,00,7.5222,3.5398,11.5047,5,NO,7.5222
BK,BAKR,00,355.5065,348.2587,2.7543,70,YES,4.4935
BK,BARR,00,5.9427,2.4562,9.4292,21,NO,5.9427
BK,BAYL,00,7.0800,350.0595,24.1005,8,NO,7.0800
BK,BCCR,00,357.6667,353.3188,2.0145,210,YES,2.3333
BK,BDM,00,1.1829,356.7930,5.5728,219,YES,1.1829
BK,BEVN,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,BIGM,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,BIGV,00,347.7637,342.3878,353.1396,124,NO,12.2363
BK,BJES,00,1.2752,348.5998,13.9506,23,YES,1.2752
BK,BKS,00,0.1105,356.0205,4.2006,432,YES,0.1105
BK,BL67,00,1.2499,355.7063,6.7935,157,YES,1.2499
BK,BLAS,00,358.3934,351.6209,5.1659,67,YES,1.6066
BK,BLCR,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,BLUE,00,1.3785,356.1417,6.6152,228,YES,1.3785
BK,BONV,00,0.8105,357.5221,4.0990,318,YES,0.8105
BK,BOYR,00,4.0990,355.4729,12.7251,12,YES,4.0990
BK,BRAD,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,BRIB,00,0.7334,357.3655,4.1013,405,YES,0.7334
BK,BRIC,00,5.1327,0.2239,10.0415,174,NO,5.1327
BK,BRIT,00,358.7530,352.9901,4.5159,115,YES,1.2470
BK,BRK,00,359.3256,355.9032,2.7479,449,YES,0.6744
BK,BUCI,00,1.0006,355.5337,6.4676,111,YES,1.0006
BK,BUCR,00,1.5957,351.7360,11.4554,201,YES,1.5957
BK,CCOR,00,0.8066,354.3101,7.3030,6,YES,0.8066
BK,CGRV,00,357.3836,347.6176,7.1495,62,YES,2.6164
BK,CLRV,00,357.9638,352.6344,3.2932,161,YES,2.0362
BK,CMB,00,0.5635,356.6093,4.5177,352,YES,0.5635
BK,CVS,00,3.5480,359.2004,7.8955,291,YES,3.5480
BK,DANT,00,359.7463,356.3648,3.1279,305,YES,0.2537
BK,DCMP,00,357.3194,352.1383,2.5005,84,YES,2.6806
BK,DIAZ,00,356.7516,351.8915,1.6117,93,YES,3.2484
BK,DLIK,00,0.5380,355.3822,5.6937,191,YES,0.5380
BK,DMOR,00,3.9806,359.2107,8.7505,181,YES,3.9806
BK,DRDG,00,3.5157,357.3924,9.6390,178,YES,3.5157
BK,DRYC,00,0.9487,356.0303,5.8671,134,YES,0.9487
BK,EAGL,00,358.8768,353.6428,4.1108,200,YES,1.1232
BK,ETSL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,FARB,00,0.7485,357.7354,3.7616,388,YES,0.7485
BK,FORD,00,1.8447,358.5590,5.1304,372,YES,1.8447
BK,GALB,00,359.6976,354.1472,5.2480,154,YES,0.3024
BK,GASB,00,355.4588,345.2790,5.6386,37,YES,4.5412
BK,GCKB,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,GHOP,00,356.0944,348.4199,3.7689,94,YES,3.9056
BK,GRPK,00,3.4301,354.1551,12.7051,98,YES,3.4301
BK,GTSB,00,355.7904,351.2075,0.3732,185,YES,4.2096
BK,GUMB,00,0.5712,353.9680,7.1743,94,YES,0.5712
BK,HALS,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HAPY,00,0.2835,354.8771,5.6899,144,YES,0.2835
BK,HAS2,00,358.8029,354.7324,2.8734,221,YES,1.1971
BK,HAST,00,356.8076,343.8124,9.8029,11,YES,3.1924
BK,HATC,00,0.4830,355.3863,5.5796,227,YES,0.4830
BK,HAYF,00,355.2417,350.3786,0.1047,254,YES,4.7583
BK,HELL,00,2.9694,355.2122,10.7267,206,YES,2.9694
BK,HOPS,00,359.4353,351.2032,7.6674,19,YES,0.5647
BK,HRCH,00,0.0075,348.5587,11.4563,15,YES,0.0075
BK,HULI,00,1.9769,358.5746,5.3792,430,YES,1.9769
BK,HULL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HUMO,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HUNT,00,357.7580,350.6547,4.8613,78,YES,2.2420
BK,INGL,00,359.2214,352.7729,5.6700,149,YES,0.7786
BK,JASP,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,JCC,00,0.8868,357.3285,4.4451,381,YES,0.8868
BK,JEPS,00,2.4202,358.3688,6.4717,243,YES,2.4202
BK,JEWT,00,356.4237,349.9402,2.9072,10,YES,3.5763
BK,JRSC,00,5.0513,2.0564,8.0461,444,NO,5.0513
BK,KARE,00,2.2115,356.6054,7.8176,239,YES,2.2115
BK,KCC,00,94.9285,59.2258,130.6311,76,NO,94.9285
